gene,chromosome,start,end,band,length,type
LINC01043,chr13,112967781,112976072,13q,8291,ncRNA
LINC01044,chr13,112976881,112985539,13q,8658,ncRNA
ATP11A-AS1,chr13,113399763,113409007,13q,9244,ncRNA
LINC00317,chr21,23095613,23109639,21q,14026,ncRNA
STARD13-AS,chr13,33845516,33855471,13q,9955,ncRNA
IGHV1OR15-9,chr15,20169919,20170354,15q,435,other
MCF2L-AS1,chr13,113621798,113623138,13q,1340,ncRNA
F10-AS1,chr13,113782469,113783194,13q,725,ncRNA
KARSP2,chr13,113784730,113786368,13q,1638,NA
IGHV3OR15-7,chr15,20192909,20193370,15q,461,pseudogene
LDHBP1,chr13,113930931,113932049,13q,1118,pseudogene
IGHD5OR15-5A,chr15,20209093,20209115,15q,22,other
GRTP1-AS1,chr13,114005988,114016183,13q,10195,ncRNA
DCUN1D2-AS,chr13,114123216,114130450,13q,7234,ncRNA
IGHD4OR15-4A,chr15,20210050,20210068,15q,18,other
RNU1-16P,chr13,114133230,114133393,13q,163,pseudogene
LINC00552,chr13,114451484,114454062,13q,2578,ncRNA
IGHD3OR15-3A,chr15,20211158,20211188,15q,30,other
GAS6-AS1,chr13,114518603,114542321,13q,23718,ncRNA
IGHD2OR15-2A,chr15,20213655,20213685,15q,30,other
GAS6-AS2,chr13,114567141,114569806,13q,2665,NA
LINC00308,chr21,23470936,23488847,21q,17911,ncRNA
IGHD1OR15-1A,chr15,20216406,20216422,15q,16,other
RN7SL247P,chr18,21852889,21853170,18q,281,NA
MIR320C2,chr18,21901650,21901699,18q,49,NA
LINC00454,chr13,114581673,114586624,13q,4951,ncRNA
RNU5A-4P,chr13,34403676,34403786,13q,110,pseudogene
VDAC1P12,chr13,34656566,34657447,13q,881,pseudogene
LINC00452,chr13,114586640,114626485,13q,39845,ncRNA
GOLGA6L6,chr15,20737094,20747114,15q,10020,protein-coding
LINC00457,chr13,35009587,35214822,13q,205235,ncRNA
LINC00565,chr13,114629487,114631817,13q,2330,NA
RNU4-45P,chr21,23577511,23577651,21q,140,pseudogene
RASA3-IT1,chr13,114873044,114874295,13q,1251,ncRNA
GAMTP2,chr13,35148341,35148803,13q,462,pseudogene
MIR548AR,chr13,115009980,115010036,13q,56,NA
MAPK6PS2,chr21,23808610,23810669,21q,2059,NA
MIR4502,chr13,115039303,115039383,13q,80,NA
SCAND3P1,chr13,35759431,35760816,13q,1385,NA
CLCP2,chr13,115072121,115072541,13q,420,pseudogene
PHBP13,chr13,35825207,35825966,13q,759,NA
LINC01054,chr13,115095034,115099423,13q,4389,ncRNA
LINC00445,chr13,36271661,36273393,13q,1732,ncRNA
RNU6-71P,chr13,36841305,36841411,13q,106,pseudogene
IGHV1OR21-1,chr21,10862622,10863067,21p,445,other
HIST1H2APS6,chr13,37064215,37064578,13q,363,NA
GAPDHP34,chr13,37314178,37315000,13q,822,pseudogene
TCEAL4P1,chr13,37316015,37316602,13q,587,pseudogene
ARL2BPP3,chr13,37363469,37369187,13q,5718,pseudogene
POTEB2,chr15,21040701,21071643,15q,30942,protein-coding
NDE1P2,chr13,37378335,37379439,13q,1104,pseudogene
SMAD9-AS1,chr13,37423503,37424183,13q,680,NA
LAMTOR3P1,chr13,37496676,37497045,13q,369,pseudogene
RPL29P28,chr13,37500575,37501356,13q,781,pseudogene
EIF4A1P5,chr13,37512537,37513631,13q,1094,pseudogene
RN7SKP1,chr13,37740489,37740795,13q,306,pseudogene
RPS12P24,chr13,37794997,37795383,13q,386,pseudogene
LINC01048,chr13,38055604,38058906,13q,3302,ncRNA
RN7SL609P,chr21,24052992,24053286,21q,294,NA
RNA5SP26,chr13,38428989,38429107,13q,118,pseudogene
HSPD1P9,chr13,38567222,38568857,13q,1635,pseudogene
LINC00571,chr13,38624954,38717369,13q,92415,ncRNA
ZNF299P,chr21,24462350,24464153,21q,1803,pseudogene
LINC00437,chr13,39107480,39119436,13q,11956,ncRNA
MSANTD2P1,chr21,24473545,24475396,21q,1851,pseudogene
LINC00366,chr13,39150777,39153131,13q,2354,ncRNA
RNU2-55P,chr21,24654058,24654231,21q,173,pseudogene
PRDX3P3,chr13,39191556,39192077,13q,521,pseudogene
RNU6-56P,chr13,39353561,39353653,13q,92,pseudogene
IGHD5OR15-5B,chr15,21215823,21215845,15q,22,other
FREM2-AS1,chr13,39395935,39401707,13q,5772,ncRNA
PLA2G12AP2,chr13,39476524,39476787,13q,263,pseudogene
IGHD4OR15-4B,chr15,21216780,21216798,15q,18,other
ANKRD26P2,chr13,39496864,39510336,13q,13472,pseudogene
EEF1A1P1,chr21,24762579,24763317,21q,738,pseudogene
IGHD3OR15-3B,chr15,21217888,21217918,15q,30,other
NXT1P1,chr13,39743773,39744088,13q,315,pseudogene
IGHD2OR15-2B,chr15,21220377,21220407,15q,30,other
MIR4305,chr13,40238171,40238272,13q,101,NA
TUBAP,chr21,24779978,24781448,21q,1470,NA
RNY4P14,chr13,40359552,40359647,13q,95,pseudogene
CDKN2AIPNLP3,chr13,40391878,40392186,13q,308,pseudogene
SECISBP2L,chr15,49280673,49338760,15q,58087,protein-coding
AZU1P1,chr13,40430847,40431231,13q,384,pseudogene
IGHD1OR15-1B,chr15,21223129,21223145,15q,16,other
LINC00332,chr13,40755946,40763165,13q,7219,ncRNA
RPL17P51,chr13,40798762,40798999,13q,237,pseudogene
RNY3P9,chr13,40800964,40801069,13q,105,pseudogene
RN7SKP2,chr13,40981259,40981577,13q,318,pseudogene
LINC00598,chr13,41025131,41055143,13q,30012,ncRNA
RLIMP1,chr13,41192875,41195485,13q,2610,pseudogene
MIR320D1,chr13,41301964,41302011,13q,47,NA
MIR621,chr13,41384902,41384997,13q,95,NA
TPTE2P5,chr13,41396432,41495890,13q,99458,pseudogene
POTEB,chr15,22051853,22083227,15q,31374,protein-coding
TPTE,chr21,10906201,11029719,21p,123518,protein-coding
CYCSP34,chr13,41437735,41438038,13q,303,pseudogene
SUGT1P3,chr13,41482295,41495910,13q,13615,pseudogene
RGS17P1,chr13,41566915,41567467,13q,552,pseudogene
MIR3168,chr13,41675155,41675236,13q,81,NA
RN7SL597P,chr13,41696012,41696305,13q,293,pseudogene
CALM2P3,chr13,41744836,41745284,13q,448,pseudogene
MORF4L1P4,chr13,41773968,41774943,13q,975,pseudogene
RAC1P3,chr13,41861877,41862456,13q,579,pseudogene
RNU6-57P,chr13,41928693,41928795,13q,102,pseudogene
TUBBP2,chr13,41958909,41959319,13q,410,pseudogene
OR7E36P,chr13,42005425,42006446,13q,1021,pseudogene
OR7E155P,chr13,42013952,42015035,13q,1083,pseudogene
RAC1P1,chr18,22265736,22266315,18q,579,pseudogene
OR7E37P,chr13,42016906,42017786,13q,880,pseudogene
MIR5006,chr13,42142422,42142531,13q,109,NA
RN7SL515P,chr13,42381813,42382108,13q,295,pseudogene
RNU6-74P,chr13,42479254,42479360,13q,106,pseudogene
KARSP1,chr13,42499734,42501485,13q,1751,NA
WBP2P1,chr18,22596398,22597168,18q,770,pseudogene
RPS28P8,chr13,42577566,42577773,13q,207,pseudogene
MAPK6PS3,chr13,42643068,42645229,13q,2161,NA
RN7SL97P,chr18,23398200,23398496,18q,296,pseudogene
CHCHD2P11,chr13,42755601,42756057,13q,456,pseudogene
FHP1,chr13,42830009,42830711,13q,702,pseudogene
RPS24P18,chr18,23678803,23679190,18q,387,pseudogene
FABP3P2,chr13,42943374,42943793,13q,419,pseudogene
DHFRP1,chr18,23749724,23751313,18q,1589,pseudogene
LINC01050,chr13,43384502,43386698,13q,2196,ncRNA
LINC00428,chr13,43416550,43417023,13q,473,ncRNA
NPM1P2,chr18,23784833,23785868,18q,1035,pseudogene
ZDHHC4P1,chr13,43507994,43509028,13q,1034,pseudogene
FAM60BP,chr18,23835662,23836319,18q,657,NA
LINC00400,chr13,43732767,43733602,13q,835,ncRNA
RPL36P19,chr13,43968661,43968961,13q,300,pseudogene
ENOX1-AS2,chr13,44032601,44033259,13q,658,ncRNA
ENOX1-AS1,chr13,44118054,44122192,13q,4138,ncRNA
RNU6-1289P,chr18,23946265,23946370,18q,105,pseudogene
POTED,chr21,14982498,15013906,21q,31408,protein-coding
LINC00284,chr13,44482850,44604597,13q,121747,NA
CIAPIN1P,chr18,24179372,24180302,18q,930,pseudogene
AQP4-AS1,chr18,24235706,24770662,18q,534956,ncRNA
DGKZP1,chr13,44542560,44545335,13q,2775,pseudogene
LDLRAD4,chr18,13217497,13652754,18p,435257,protein-coding
LINC00390,chr13,44680514,44711372,13q,30858,ncRNA
SMIM2-AS1,chr13,44716682,44813010,13q,96328,ncRNA
SMIM2-IT1,chr13,44720606,44732358,13q,11752,ncRNA
LINC01071,chr13,44974386,44980120,13q,5734,NA
SMARCE1P5,chr13,45168994,45170218,13q,1224,pseudogene
LIPI,chr21,15481134,15583166,21q,102032,protein-coding
LINC00407,chr13,45225948,45275152,13q,49204,ncRNA
LINC00330,chr13,45373639,45383766,13q,10127,ncRNA
RN7SL49P,chr13,45576285,45576580,13q,295,pseudogene
RN7SKP3,chr13,45634864,45635221,13q,357,pseudogene
RNU6-69P,chr13,45711997,45712100,13q,103,pseudogene
SNORA31,chr13,45911615,45911744,13q,129,snoRNA
RBM11,chr21,15588451,15600693,21q,12242,protein-coding
OR4M2,chr15,22368478,22369561,15q,1083,protein-coding
OR4N4,chr15,22382382,22383507,15q,1125,protein-coding
TPT1-AS1,chr13,45915480,45965872,13q,50392,ncRNA
IGHV1OR15-1,chr15,22448382,22448819,15q,437,other
IGHV4OR15-8,chr15,22472918,22473353,15q,435,other
HSPA13,chr21,15743436,15755805,21q,12369,protein-coding
RCN1P2,chr13,45964486,45965402,13q,916,pseudogene
SLC25A30-AS1,chr13,45992297,45994506,13q,2209,ncRNA
PPIAP25,chr13,46010256,46010795,13q,539,pseudogene
RNA5SP27,chr13,46125620,46125738,13q,118,pseudogene
GOLGA6L1,chr15,22736246,22746002,15q,9756,protein-coding
TIMM9P3,chr13,46126998,46127271,13q,273,pseudogene
COX4I1P2,chr13,46245980,46246526,13q,546,pseudogene
LINC01055,chr13,46255225,46256554,13q,1329,ncRNA
AKR1B1P4,chr13,46261683,46262604,13q,921,pseudogene
CPB2-AS1,chr13,46626941,46687467,13q,60526,ncRNA
RNA5SP489,chr21,26574521,26574629,21q,108,pseudogene
RN7SL288P,chr13,46743594,46743883,13q,289,pseudogene
RN7SKP5,chr13,46824077,46824348,13q,271,pseudogene
FAM206BP,chr13,46844212,46844752,13q,540,NA
LINC00563,chr13,46870580,46871979,13q,1399,ncRNA
RNU2-6P,chr13,46948536,46948725,13q,189,pseudogene
RNU6-68P,chr13,46984589,46984692,13q,103,pseudogene
COPS2,chr15,49398268,49447858,15q,49590,protein-coding
SAMSN1,chr21,15857549,15955723,21q,98174,protein-coding
PPP1R2P4,chr13,46917102,47012325,13q,95223,pseudogene
OR7E101P,chr13,47034744,47035256,13q,512,pseudogene
COX17P1,chr13,47064997,47065397,13q,400,pseudogene
FKBP1AP3,chr13,47079253,47079571,13q,318,pseudogene
HTR2A-AS1,chr13,47426278,47430434,13q,4156,ncRNA
GNG5P5,chr13,47881217,47881436,13q,219,pseudogene
RN7SL700P,chr13,48033078,48033369,13q,291,pseudogene
NAP1L4P3,chr13,48337595,48338741,13q,1146,pseudogene
RPL27AP8,chr13,48340775,48341220,13q,445,pseudogene
TUBGCP5,chr15,22833395,22873892,15q,40497,protein-coding
LINC00444,chr13,48479464,48481492,13q,2028,NA
LINC00562,chr13,48504290,48506757,13q,2467,ncRNA
SUCLA2-AS1,chr13,48575525,48576688,13q,1163,ncRNA
MED4-AS1,chr13,48651273,48654127,13q,2854,ncRNA
POLR2KP2,chr13,48708494,48708670,13q,176,pseudogene
LINC00441,chr13,48870649,48877797,13q,7148,NA
PPP1R26P1,chr13,48890999,48894611,13q,3612,pseudogene
PCNPP5,chr13,48902220,48902700,13q,480,pseudogene
LINC01077,chr13,49144775,49147453,13q,2678,ncRNA
NRIP1,chr21,16333556,16437321,21q,103765,protein-coding
LINC00462,chr13,49151110,49152224,13q,1114,ncRNA
PSME2P2,chr13,49345264,49345965,13q,701,pseudogene
UBA52P9,chr18,24935370,24935728,18q,358,pseudogene
RNU6-60P,chr13,49562051,49562153,13q,102,pseudogene
RAD17P2,chr13,49618215,49620930,13q,2715,pseudogene
RBM22P1,chr18,24998848,25000399,18q,1551,pseudogene
RNY3P2,chr13,49669527,49669628,13q,101,pseudogene
COX7CP1,chr13,49761615,49761806,13q,191,pseudogene
PA2G4P3,chr18,25032478,25033621,18q,1143,pseudogene
OGFOD1P1,chr13,49784558,49786430,13q,1872,pseudogene
SNRPGP14,chr13,50063106,50063500,13q,394,pseudogene
RMDN3,chr15,41028082,41048049,15q,19967,protein-coding
ARIH2P1,chr18,26231696,26233172,18q,1476,pseudogene
RNY4P30,chr13,50463770,50463864,13q,94,pseudogene
CTAGE10P,chr13,50464727,50467134,13q,2407,pseudogene
RNU6-408P,chr18,26628584,26628683,18q,99,pseudogene
RNY4P9,chr13,50482770,50482866,13q,96,pseudogene
